driverId,name,ssn,location,certified,wage-plan
10,Jennifer Boone,300-64-3730,"2256 Alex Harbors
Amandatown, LA 83066",Y,miles
11,Jesse Jensen,887-20-8868,"4491 Palmer Pine
South Stacytown, OK 10487",N,miles
12,Kristen Duncan,481-36-3314,"02689 Elizabeth Ridge Suite 732
Paulborough, SC 02472",Y,miles
13,Lauren Harris,578-23-1773,"012 Bell Summit Suite 108
Karenhaven, NJ 72425",N,miles
14,Joseph Young,436-31-5847,"1776 Gabriel Center Suite 470
Michaelland, IL 89655",N,miles
15,Ryan Russell,702-93-8913,"19715 Palmer Alley
North Sara, LA 63262",N,hours
16,Christopher Brown,695-29-3080,"Unit 7302 Box 9161
DPO AA 73357",N,miles
17,Brenda Perez,662-02-0262,"1819 Mack Square
New Carolyn, FM 24477",N,miles
18,Daniel Sanchez,655-72-1123,"20803 Moore Plaza
Karinamouth, TX 74689",Y,hours
19,Megan Little,200-83-5513,"838 Mack Parks
Richardtown, IA 27015",Y,hours
20,Veronica Salazar,092-50-2245,"65197 Jesse Plain
Aprilland, DE 47214",Y,hours
21,Christian Miller,876-63-8462,"3618 Hood Village Suite 820
Lake Javier, OR 20611",Y,miles
22,Glenn Morgan Jr.,262-17-9937,"Unit 0201 Box 1800
DPO AE 71293",N,miles
23,Debra Evans,031-49-6926,"USNS Williams
FPO AP 86814",N,miles
24,Sherry Porter,388-66-8418,"95066 Miller Neck Apt. 130
Edwardsshire, RI 90328",N,miles
25,Elizabeth Petersen,475-97-1440,"7391 Lewis Drives
New Brittany, NC 37581",N,miles
26,Jeffrey Cohen,018-89-1601,"70946 Jennifer Terrace
Scottport, OH 39549",N,hours
27,Richard Nunez,831-12-8385,"257 Allen Circle
West Brandi, WY 39966",N,miles
28,Daniel Golden,123-65-1836,"31401 Wood Summit Suite 540
East Amystad, NE 25299",Y,hours
29,Jennifer Carter,066-25-4255,"Unit 5854 Box 2571
DPO AE 13196",N,miles
30,Colleen Cunningham,181-25-1445,"3230 Kelly Row Suite 159
Dominguezfurt, GA 19523",Y,hours
31,Michael Johnson,565-70-4615,"61034 Blanchard Stream
Jonathanland, LA 26724",N,hours
32,Ernest James,555-87-4004,"PSC 9515, Box 9697
APO AA 51304",N,miles
